Reading_Score,Writing_Score,Listening_Score,Speaking_Score,Attendance_Percentage,Practice_Hours,Vocabulary_Score,Grammar_Score,Mock_Test_Score,Final_IELTS_Band
4.1,6.6,4.2,6.3,100.0,5.5,46.4,53.4,6.3,5.1
2.8,3.9,3.7,5.3,100.0,4.8,37.8,51.5,3.3,3.6
5.1,5.2,6.0,4.7,100.0,2.0,66.1,52.2,5.2,5.2
5.3,2.6,4.1,4.2,100.0,4.2,53.4,51.7,3.3,4.2
4.7,4.6,5.0,4.3,100.0,2.2,41.5,44.2,5.0,4.4
3.3,5.1,3.6,3.9,100.0,4.1,35.9,59.0,3.8,3.8
8.2,8.1,6.0,8.3,100.0,8.8,73.6,61.3,7.5,7.5
5.6,5.5,5.4,3.8,100.0,7.6,30.5,50.4,5.8,5.3
4.2,3.2,5.0,4.1,100.0,2.0,22.1,20.0,3.2,4.0
6.6,4.1,5.3,6.6,100.0,5.4,62.0,55.3,5.6,5.6
5.5,3.1,4.4,3.4,100.0,3.0,35.5,24.6,4.3,4.2
7.0,5.0,5.3,6.0,100.0,3.9,58.0,50.5,5.8,5.6
2.1,2.3,1.7,2.8,100.0,3.5,20.0,20.0,3.1,2.4
4.7,4.0,2.6,4.5,100.0,2.9,25.2,29.4,3.1,3.9
5.5,7.1,5.2,3.9,100.0,5.5,50.3,57.6,4.2,5.5
6.3,6.0,5.6,5.6,100.0,7.0,57.3,45.8,5.4,6.2
3.9,5.0,4.3,5.1,100.0,5.1,59.5,46.2,4.5,4.4
4.7,4.6,3.6,2.5,100.0,3.6,35.2,73.7,5.3,3.9
4.0,4.8,4.0,3.7,100.0,4.5,34.0,48.8,4.8,4.3
3.9,2.4,3.4,2.5,100.0,1.5,24.8,20.0,2.8,3.1
5.0,4.3,4.1,5.0,100.0,4.1,25.5,25.2,3.8,4.3
2.8,4.9,4.1,3.8,100.0,5.8,24.1,45.3,4.8,3.9
6.3,6.5,6.4,5.5,100.0,4.8,50.9,66.9,6.0,6.1
6.3,5.9,6.2,6.1,100.0,3.2,52.7,49.3,5.0,6.2
2.7,3.3,3.2,1.5,100.0,2.4,29.9,45.5,4.3,3.3
6.0,3.7,5.3,3.6,100.0,4.3,61.4,81.0,5.0,4.7
4.8,5.1,5.2,4.2,100.0,4.5,60.1,41.6,5.0,4.7
4.5,3.5,3.5,2.9,100.0,4.5,40.9,48.6,4.5,3.7
5.5,4.7,5.6,4.5,100.0,2.7,61.5,68.4,4.6,5.0
5.3,5.2,6.1,6.7,100.0,7.6,63.0,76.0,5.7,5.7
5.2,6.5,5.2,6.9,100.0,4.6,62.0,57.6,6.7,5.9
4.6,3.8,3.7,4.7,100.0,3.7,58.2,56.8,3.9,4.1
4.6,3.0,3.1,5.6,100.0,3.5,48.0,44.7,3.6,3.8
5.3,5.9,6.8,6.5,100.0,4.7,58.5,59.2,5.7,5.9
5.8,4.8,5.5,4.3,100.0,9.0,53.2,64.7,5.8,5.5
4.2,4.6,5.6,4.8,100.0,4.8,46.9,41.4,4.7,4.7
5.6,5.0,4.8,4.3,100.0,6.1,53.8,50.0,6.7,5.1
3.4,4.5,4.1,3.0,100.0,3.6,44.5,21.5,3.9,3.6
2.5,5.3,3.2,4.1,100.0,4.1,38.4,20.0,4.0,3.6
6.6,4.7,6.1,4.5,100.0,6.8,60.9,60.1,5.8,5.8
6.5,6.6,7.1,5.1,100.0,7.4,68.6,61.5,5.8,6.5
4.9,4.6,5.4,5.5,100.0,6.6,48.2,54.4,5.7,5.3
7.5,6.6,6.8,6.6,100.0,6.7,66.1,69.4,5.8,6.6
5.4,5.6,5.2,5.6,100.0,9.0,68.1,55.6,5.3,5.3
4.5,3.9,3.9,3.5,100.0,5.5,51.0,55.1,5.5,4.4
4.5,5.0,4.3,6.1,100.0,3.8,63.0,55.4,5.2,5.1
6.7,5.8,7.2,7.4,100.0,7.0,93.4,58.5,7.7,6.9
5.4,5.9,5.7,5.0,100.0,5.5,22.9,47.2,5.2,5.5
5.6,7.3,8.0,5.8,100.0,7.4,68.9,85.2,6.5,6.5
2.0,2.7,2.1,1.5,100.0,2.1,20.0,20.0,2.1,1.9
6.1,5.7,5.4,6.7,100.0,7.4,55.6,61.4,5.5,5.6
5.1,4.5,3.9,6.3,100.0,3.1,42.0,57.1,5.8,4.9
5.5,3.6,5.4,4.4,100.0,6.5,28.3,72.0,5.5,4.9
5.4,5.5,3.8,4.9,100.0,4.4,48.3,63.5,5.1,4.8
3.8,1.6,2.4,2.5,100.0,1.1,29.1,21.5,3.6,2.7
3.9,6.5,4.6,5.0,100.0,3.8,54.4,51.9,4.9,5.3
5.5,4.2,5.4,4.9,100.0,6.7,47.8,36.4,6.1,5.1
6.8,7.0,6.8,4.2,100.0,6.8,74.4,61.7,8.9,6.9
3.5,5.9,4.5,5.4,100.0,3.2,55.8,48.7,6.2,4.9
4.8,4.6,2.3,5.6,100.0,3.2,22.7,39.5,3.9,4.0
6.3,4.6,4.4,3.9,100.0,1.6,40.9,45.4,4.6,5.1
6.1,5.2,4.5,5.2,100.0,5.1,66.6,64.1,5.3,5.4
5.8,4.1,5.9,5.3,100.0,3.6,55.0,54.9,6.0,5.4
4.4,5.1,4.0,4.2,100.0,3.8,50.6,43.1,4.6,4.6
5.0,7.1,4.1,6.5,100.0,6.8,42.7,47.1,5.1,5.8
3.7,4.7,4.5,5.2,100.0,6.0,41.4,49.2,6.0,4.5
5.6,5.1,5.8,5.5,100.0,8.3,71.4,52.1,6.0,5.7
3.0,1.8,5.0,3.0,100.0,5.5,22.4,33.3,3.8,3.3
6.0,3.7,4.7,5.4,100.0,3.7,53.2,57.0,4.9,4.8
4.4,4.4,4.8,5.1,100.0,4.4,48.6,42.3,4.2,4.5
3.0,4.8,4.1,4.2,100.0,2.8,35.5,34.0,3.2,4.1
6.1,6.0,5.3,4.5,100.0,2.2,49.7,55.6,6.6,5.4
4.4,5.6,5.9,6.9,100.0,3.6,59.0,50.1,4.9,5.6
4.4,4.6,5.5,3.5,100.0,4.8,38.4,40.0,5.5,4.5
4.8,4.2,3.8,5.3,100.0,4.4,42.3,42.5,4.3,4.7
4.1,4.7,4.4,1.6,100.0,3.6,29.1,30.6,2.6,3.7
4.9,4.7,3.5,3.8,100.0,5.1,34.7,49.5,4.4,4.2
4.8,2.6,5.2,6.0,100.0,1.8,47.0,46.1,6.5,5.0
4.1,3.4,2.9,4.8,100.0,4.6,26.5,44.5,4.6,3.9
5.1,4.0,5.2,4.3,100.0,5.0,50.3,32.4,5.1,4.9
5.6,5.0,6.8,5.0,100.0,6.5,73.5,64.7,5.1,5.8
6.4,7.8,7.1,7.4,100.0,9.4,65.7,67.0,7.0,6.9
5.2,5.1,5.0,5.7,100.0,5.0,52.4,62.5,4.1,5.2
4.5,5.2,5.7,6.4,100.0,7.3,37.7,58.9,6.6,5.4
5.0,6.2,4.7,4.5,100.0,3.6,40.6,30.2,5.1,5.1
2.3,2.0,4.0,1.3,100.0,0.7,28.2,28.6,2.8,2.7
7.0,6.8,5.1,5.1,100.0,5.6,45.3,59.6,5.1,5.7
5.0,4.4,4.8,4.7,100.0,4.5,58.3,63.5,6.6,5.1
6.8,8.0,7.6,6.8,100.0,9.1,90.5,79.3,8.2,7.4
4.7,4.5,4.1,5.0,100.0,7.7,46.5,48.9,4.6,4.4
5.8,5.5,4.9,5.2,100.0,6.0,44.2,61.5,6.7,5.4
6.3,5.4,4.7,5.2,100.0,5.3,56.3,56.8,4.9,5.4
3.1,4.0,3.2,2.8,100.0,1.9,35.5,36.6,2.4,3.3
5.1,5.6,5.9,6.8,100.0,4.2,51.9,62.9,5.3,5.3
6.6,4.8,7.4,4.7,100.0,6.0,51.6,71.2,5.8,6.1
4.8,8.4,5.2,5.2,100.0,7.8,34.2,71.8,6.2,5.7
3.6,3.4,4.0,3.7,100.0,3.2,22.7,34.8,4.5,3.8
6.5,7.4,7.1,8.2,100.0,7.7,67.9,63.2,6.0,7.0
3.3,1.8,3.8,4.0,100.0,5.0,20.0,21.7,3.2,3.1
6.3,5.4,5.7,6.7,100.0,8.0,50.5,72.5,5.1,5.8
7.1,7.5,7.5,8.9,100.0,8.9,96.8,92.4,8.4,7.8
3.6,4.3,4.1,7.0,100.0,3.8,45.4,34.9,4.7,4.7
4.3,1.7,4.5,4.4,100.0,1.9,34.6,39.5,5.7,3.8
5.2,5.3,4.9,6.4,100.0,4.2,59.4,33.8,5.4,5.3
4.5,3.3,3.3,5.3,100.0,3.8,54.6,41.6,5.7,4.5
3.5,3.5,2.8,4.0,100.0,1.4,32.9,20.0,2.6,3.3
5.8,4.1,4.3,6.6,100.0,5.5,54.0,52.6,5.2,5.2
4.0,2.9,3.2,3.4,100.0,6.3,45.0,45.9,3.0,3.2
5.9,5.3,5.6,5.1,100.0,8.0,64.8,47.3,6.0,5.4
2.6,2.9,4.2,4.2,100.0,4.0,24.1,38.6,4.1,3.3
6.9,6.4,8.1,6.7,100.0,8.5,71.4,83.2,5.1,6.8
4.4,2.9,3.7,4.3,100.0,2.7,32.7,40.5,4.9,4.1
5.2,2.9,5.2,6.0,100.0,6.7,56.7,39.9,5.2,5.0
5.4,7.0,6.2,5.6,100.0,3.9,56.4,62.3,5.6,5.7
3.0,2.3,4.5,3.3,100.0,4.5,24.0,41.1,3.7,3.3
4.8,5.1,5.7,5.4,100.0,6.1,63.7,56.0,4.2,5.3
7.0,7.3,5.8,6.4,100.0,5.8,72.2,69.6,6.0,6.5
3.9,2.5,1.8,1.4,100.0,2.3,47.0,37.4,4.3,3.0
4.9,4.4,5.4,4.7,100.0,3.6,44.1,57.9,4.4,4.9
6.0,5.5,4.9,5.9,100.0,3.8,48.7,41.9,5.3,5.4
6.0,7.0,5.2,7.2,100.0,3.8,72.9,68.0,4.9,6.1
3.4,2.4,2.6,2.5,100.0,4.3,20.0,40.9,3.8,2.9
3.2,3.3,3.5,2.4,100.0,4.8,43.4,20.0,3.8,3.2
6.2,4.0,6.7,5.7,100.0,2.5,45.8,35.1,6.1,5.9
5.6,5.0,5.1,3.5,100.0,8.2,60.6,44.0,5.7,5.2
7.1,5.3,5.7,4.9,100.0,5.4,35.3,52.7,6.3,5.9
4.7,4.6,5.3,3.9,100.0,6.0,55.6,65.3,5.0,4.8
4.6,3.7,3.3,5.4,100.0,1.8,26.1,30.9,3.4,3.9
4.9,3.9,5.8,4.6,100.0,7.3,72.7,59.0,4.9,5.1
4.7,5.4,4.6,6.8,100.0,5.7,43.7,25.5,4.4,5.1
4.1,5.2,4.2,5.1,100.0,5.6,31.0,41.1,4.2,4.8
7.3,6.2,7.0,6.7,100.0,9.6,83.3,73.9,7.1,6.7
7.9,5.0,6.2,4.6,100.0,7.7,51.1,78.1,5.9,6.0
3.4,4.1,2.8,3.4,100.0,2.2,39.1,20.0,2.4,3.1
4.9,7.0,6.1,5.7,100.0,5.7,52.7,59.7,5.8,5.8
4.0,2.4,3.2,4.1,100.0,2.6,27.5,20.0,4.7,3.3
4.3,5.8,5.6,5.3,100.0,7.5,61.5,56.3,6.4,5.5
6.3,6.7,3.8,7.0,100.0,7.2,55.2,50.4,5.0,5.8
4.0,3.9,5.5,4.2,100.0,5.4,41.7,60.7,4.0,4.4
6.8,3.8,6.6,5.9,100.0,8.1,73.2,60.9,5.6,5.7
6.3,6.0,4.9,4.9,100.0,3.0,61.7,54.1,5.5,5.4
5.6,7.4,5.2,5.8,100.0,8.3,68.8,61.9,5.7,5.8
7.2,7.4,6.9,6.6,100.0,9.3,59.2,67.1,8.5,7.2
4.1,3.7,5.2,4.8,100.0,4.1,41.7,56.9,4.8,4.4
3.2,3.6,2.7,4.2,100.0,4.4,36.4,45.1,4.3,3.7
4.2,5.6,3.8,4.2,100.0,3.5,51.2,45.8,3.9,4.6
3.0,4.9,5.3,5.6,100.0,4.7,31.9,25.6,4.4,4.5
4.6,5.5,4.1,4.8,100.0,4.3,25.8,60.2,4.8,4.6
4.6,5.8,5.5,6.3,100.0,6.2,45.1,65.3,6.0,5.4
5.8,4.7,6.9,5.5,100.0,5.5,47.5,51.8,5.0,5.9
7.4,5.8,6.4,5.8,100.0,5.6,40.8,71.4,7.0,6.3
4.0,4.9,5.1,4.9,100.0,5.3,59.9,52.9,5.4,5.0
5.3,7.3,7.1,6.7,100.0,10.0,56.1,55.9,6.6,6.5
4.6,6.1,4.4,4.9,100.0,3.6,50.5,44.2,5.3,5.1
8.3,9.0,9.0,7.4,100.0,8.7,79.9,86.0,8.6,8.3
5.9,4.4,5.5,4.5,100.0,4.9,74.5,60.2,6.3,5.3
3.6,4.2,2.6,4.5,100.0,2.9,34.4,47.4,4.0,3.6
3.6,4.4,3.4,4.5,100.0,4.6,29.1,20.0,3.5,3.7
5.9,6.2,4.9,6.2,100.0,6.8,62.5,52.8,5.7,5.9
5.6,4.1,4.5,4.9,100.0,4.7,36.6,38.4,4.4,4.6
4.3,8.7,5.7,6.5,100.0,7.6,66.5,52.9,6.6,6.1
5.3,4.3,6.4,6.2,100.0,6.9,52.3,48.9,6.6,5.8
5.1,3.9,5.4,5.6,100.0,4.6,43.0,49.6,5.3,5.2
3.2,4.2,4.2,3.2,100.0,1.4,36.4,42.5,5.0,4.1
4.6,5.2,3.2,2.2,100.0,4.0,20.0,30.8,4.0,3.6
4.0,3.7,3.7,4.1,100.0,4.6,41.4,45.2,4.3,4.0
6.0,5.8,4.5,6.0,100.0,6.3,66.2,69.1,6.6,5.7
5.7,6.3,5.3,5.0,100.0,4.6,30.1,77.0,4.3,5.3
3.0,3.5,4.1,1.9,100.0,4.2,42.2,32.7,3.6,3.4
3.7,4.9,5.1,6.7,100.0,5.8,60.8,62.8,4.4,4.9
5.1,6.0,5.1,5.2,100.0,5.2,37.2,65.4,5.4,5.3
4.8,4.2,4.3,4.1,100.0,1.8,20.0,54.5,2.9,4.7
4.9,6.2,5.1,6.3,100.0,6.8,60.7,57.9,6.0,5.6
4.4,6.3,6.3,3.0,100.0,6.0,58.5,42.4,4.8,5.2
4.4,3.9,4.5,3.2,100.0,3.7,39.1,35.9,4.3,4.2
5.2,5.7,6.1,5.1,100.0,1.6,41.1,57.9,5.4,5.5
5.3,5.9,6.2,5.4,100.0,5.8,76.7,66.6,4.3,5.5
6.4,6.8,5.4,6.1,100.0,6.3,58.7,57.5,6.0,5.9
6.9,6.3,6.7,7.5,100.0,5.7,68.2,78.5,5.9,6.7
5.3,3.3,3.6,3.9,100.0,4.1,31.9,29.4,3.3,3.9
4.5,5.0,4.3,4.7,100.0,4.7,51.9,44.3,5.0,4.4
6.5,7.1,6.0,5.7,100.0,6.4,59.0,60.8,6.8,6.6
5.2,4.2,5.9,4.4,100.0,7.3,61.9,58.9,5.5,5.1
4.8,5.6,7.6,3.8,100.0,4.2,57.0,60.1,4.7,5.8
9.0,8.3,8.9,7.7,100.0,9.3,88.0,100.0,8.5,8.2
5.8,5.4,6.4,6.0,100.0,6.0,35.4,78.1,6.0,6.0
5.5,6.7,6.0,6.4,100.0,5.8,67.4,46.9,6.3,6.1
6.0,6.8,6.7,6.0,100.0,7.5,50.2,69.7,5.0,6.4
6.1,5.7,6.5,5.5,100.0,5.2,63.3,60.2,5.4,6.0
4.9,2.8,4.9,6.4,100.0,6.5,46.8,43.5,5.6,4.8
6.3,5.0,7.1,5.2,100.0,4.7,62.6,37.8,6.1,6.1
4.3,4.9,3.4,4.9,100.0,7.0,27.9,44.2,4.1,4.1
4.3,2.1,4.4,4.7,100.0,7.7,56.8,45.2,4.4,3.9
4.0,5.6,4.6,4.4,100.0,4.1,47.5,34.4,4.1,4.5
4.1,5.6,5.7,6.1,100.0,6.8,39.4,51.7,5.5,5.0
9.0,9.0,7.9,9.0,100.0,7.9,100.0,81.8,7.9,8.5
2.8,2.6,3.7,2.5,100.0,3.7,20.0,20.0,3.3,2.9
5.6,3.8,5.3,6.5,100.0,5.8,47.0,61.2,6.2,5.1
2.3,3.5,2.2,3.4,100.0,0.7,20.0,31.6,3.1,2.8
6.8,5.7,4.7,4.4,100.0,0.5,27.8,37.4,4.7,5.3
5.4,7.2,6.3,6.5,100.0,6.2,79.9,69.0,5.9,6.3
4.7,4.4,5.5,4.5,100.0,5.5,61.8,52.0,5.0,5.0
4.0,3.8,3.7,3.4,100.0,5.4,41.2,44.3,4.7,3.8
4.6,3.6,3.9,3.6,100.0,4.0,44.8,38.2,4.1,3.9
6.6,5.0,5.8,6.6,100.0,7.5,72.7,68.2,5.7,6.0
5.6,5.0,4.1,4.0,100.0,3.2,36.6,35.9,4.3,4.2
5.7,4.1,5.0,4.1,100.0,4.8,57.5,72.9,4.4,4.8
4.2,4.2,4.9,4.4,100.0,6.6,42.6,46.3,5.2,4.6
4.0,3.2,3.9,1.4,100.0,0.5,38.7,33.4,5.4,3.7
7.8,6.1,8.2,7.1,100.0,8.2,86.7,81.2,7.0,7.3
7.4,5.9,5.9,5.8,100.0,5.4,28.7,52.2,6.0,5.8
1.5,3.7,4.2,2.5,100.0,4.0,20.0,20.0,2.6,2.5
6.2,5.0,5.3,7.0,100.0,4.5,54.4,60.1,5.2,5.8
4.3,2.8,3.8,4.7,100.0,4.8,39.3,20.0,4.2,3.9
6.7,6.8,7.9,6.5,100.0,7.7,58.3,55.6,6.5,7.2
4.0,5.7,4.3,2.6,100.0,1.6,44.0,24.7,3.3,3.9
4.2,4.2,5.6,4.5,100.0,4.6,41.2,49.7,5.4,4.8
6.2,5.1,6.0,5.2,100.0,5.1,45.4,35.7,5.7,5.9
6.6,6.5,6.5,5.3,100.0,7.7,74.8,68.5,4.8,6.2
4.3,5.1,3.9,2.9,100.0,4.2,42.4,38.6,3.8,3.9
4.6,4.1,3.8,3.0,100.0,4.1,39.0,28.7,4.7,4.5
4.0,3.2,4.7,3.3,100.0,2.7,42.2,44.8,3.8,4.1
3.0,4.8,3.3,5.0,100.0,5.6,48.7,45.4,4.3,3.9
7.8,7.9,7.0,7.0,100.0,7.5,76.9,85.9,6.2,7.4
5.8,5.5,5.0,5.0,100.0,3.2,61.4,41.4,5.0,5.5
2.7,3.0,3.7,3.5,100.0,0.8,35.8,20.0,3.5,3.4
5.7,7.1,6.3,7.1,100.0,7.0,60.6,78.8,4.9,6.1
7.2,8.1,7.9,7.6,100.0,6.3,87.0,73.6,6.7,7.7
5.1,5.5,6.4,6.7,100.0,9.3,55.8,60.2,5.5,6.0
2.5,3.2,2.7,2.4,100.0,1.3,31.2,33.5,3.2,2.9
3.5,3.1,4.2,3.9,100.0,4.3,42.0,31.0,4.7,3.9
6.2,7.2,7.2,6.8,100.0,7.1,65.4,66.3,5.9,6.6
3.6,3.9,4.9,5.8,100.0,2.8,26.9,48.3,3.5,4.1
4.2,5.1,4.7,6.8,100.0,2.3,58.0,42.4,5.6,4.9
7.5,5.9,4.8,6.4,100.0,6.4,62.0,56.6,6.0,6.2
4.9,3.9,3.4,4.0,100.0,2.5,27.7,24.8,3.4,3.9
4.3,5.8,5.7,6.2,100.0,5.1,33.1,41.4,6.2,5.2
1.3,1.7,2.0,1.8,100.0,0.5,20.0,20.0,1.2,1.8
4.1,3.6,3.1,1.8,100.0,3.9,32.1,48.7,3.6,3.2
5.6,5.4,4.9,3.8,100.0,7.0,49.3,48.8,4.4,4.8
2.8,3.9,4.8,3.8,100.0,2.3,49.8,36.6,4.2,3.8
7.8,6.5,7.3,5.4,100.0,6.7,74.0,79.5,7.4,6.9
2.8,3.2,4.3,2.5,100.0,0.5,20.0,21.8,2.0,3.2
3.4,4.3,5.2,3.9,100.0,4.0,41.3,45.8,4.0,4.1
5.7,5.6,4.5,4.9,100.0,5.8,64.5,39.0,4.8,5.3
7.8,6.4,6.6,6.5,100.0,6.4,64.8,62.0,6.7,6.9
5.3,2.9,3.3,3.0,100.0,3.5,39.6,27.6,3.7,3.7
5.4,8.3,6.5,7.1,100.0,6.5,69.2,56.8,5.6,6.6
5.6,5.9,5.7,4.8,100.0,3.1,56.6,37.4,5.0,5.4
3.5,3.1,4.1,3.5,100.0,4.0,53.9,28.2,5.0,3.8
6.2,6.1,3.4,4.4,100.0,5.4,38.6,68.4,5.6,5.3
4.1,5.4,4.3,6.1,100.0,5.5,62.0,68.6,4.7,4.8
3.3,4.7,2.7,3.7,100.0,3.2,40.0,40.7,3.3,3.6
4.5,5.2,5.2,4.1,100.0,4.1,41.6,56.9,4.7,4.7
4.6,5.7,4.7,4.7,100.0,4.7,43.2,38.6,3.8,4.9
4.6,5.5,5.3,4.5,100.0,4.8,68.6,31.0,4.9,5.1
6.3,5.7,5.1,5.3,100.0,8.6,73.3,51.0,6.2,5.9
7.7,7.9,7.4,7.1,100.0,8.6,53.8,70.7,6.9,7.3
4.0,3.7,4.0,3.2,100.0,4.0,23.7,32.8,3.2,3.8
8.9,7.7,6.7,9.0,100.0,7.9,91.4,81.0,6.3,8.0
3.0,3.0,1.6,2.6,100.0,0.5,20.5,20.0,3.3,2.5
3.8,4.7,4.8,5.4,100.0,3.6,47.5,42.0,4.6,4.6
6.8,5.7,7.0,4.0,100.0,4.9,43.1,62.3,5.8,6.0
4.9,4.8,6.6,4.6,100.0,5.0,46.8,40.6,4.7,5.2
5.0,3.5,4.7,3.3,100.0,4.0,27.1,48.7,4.0,4.2
6.0,3.8,4.2,3.9,100.0,5.7,30.3,41.0,4.3,4.6
4.8,3.1,5.0,4.8,100.0,4.7,30.0,63.3,3.4,4.3
3.1,3.4,4.0,5.2,100.0,5.9,31.9,38.0,3.6,3.8
5.3,5.9,5.5,6.3,100.0,5.8,55.1,57.9,6.0,5.7
6.5,5.5,3.9,5.2,100.0,5.9,46.9,49.7,5.6,5.2
4.0,3.9,4.2,3.6,100.0,4.5,49.8,34.9,3.7,3.9
6.1,3.8,5.6,7.1,100.0,6.7,54.4,69.6,5.2,5.4
6.0,6.9,5.4,7.2,100.0,7.4,68.9,54.2,5.1,6.1
6.5,7.0,4.3,6.1,100.0,7.4,57.4,72.1,6.5,6.0
6.0,6.2,5.9,6.6,100.0,4.0,63.8,64.1,5.1,6.0
3.8,5.8,2.3,4.3,100.0,3.6,42.3,37.9,4.0,3.8
4.1,3.4,5.1,5.0,100.0,4.1,32.6,45.3,3.9,4.3
6.6,7.7,6.3,4.9,100.0,9.3,57.9,73.2,6.7,6.5
6.2,4.8,5.5,5.3,100.0,5.4,54.1,65.7,5.4,5.5
4.8,5.2,5.4,5.3,100.0,3.5,53.4,52.5,5.5,5.5
6.0,3.9,4.4,6.2,100.0,5.8,50.5,56.0,5.9,5.1
6.4,6.5,6.6,5.8,100.0,7.7,61.7,57.6,7.6,6.5
3.6,4.7,4.9,2.5,100.0,4.0,42.3,66.8,3.3,4.1
5.0,5.5,3.4,5.2,100.0,5.5,61.6,63.5,4.6,4.6
4.0,5.4,4.4,5.6,100.0,6.1,65.5,53.2,5.6,5.2
4.5,4.8,4.7,3.3,100.0,3.4,47.4,46.4,5.5,4.5
7.3,5.8,6.2,5.3,100.0,6.1,66.6,43.5,5.9,6.3
5.3,5.4,7.0,6.1,100.0,5.5,66.7,59.7,3.7,5.8
6.1,6.8,5.2,5.9,100.0,7.9,52.7,63.0,6.0,6.1
6.0,5.9,6.1,7.1,100.0,7.4,52.3,61.4,5.5,5.9
4.8,5.9,3.6,3.9,100.0,3.4,47.2,42.0,4.4,4.8
4.6,7.0,6.9,5.5,100.0,4.6,71.0,56.8,5.9,6.1
4.5,3.0,4.5,5.7,100.0,7.3,57.7,53.1,4.9,4.6
5.2,6.5,5.1,4.3,100.0,7.1,36.1,67.4,6.5,5.3
5.3,6.8,4.8,6.1,100.0,6.1,54.7,49.8,4.6,5.6
5.3,5.4,5.6,4.2,100.0,5.2,29.6,45.8,4.4,4.9
4.8,6.3,6.0,6.5,100.0,8.2,63.5,55.3,6.4,6.1
4.9,5.0,5.9,3.7,100.0,2.1,41.7,38.7,4.3,4.7
7.7,7.2,7.8,6.5,100.0,9.3,64.1,83.6,7.2,7.3
4.0,4.0,3.5,3.4,100.0,2.8,44.9,39.3,3.8,3.7
3.5,2.3,3.1,4.0,100.0,2.8,49.2,27.4,3.3,3.1
6.0,6.5,6.1,6.4,100.0,7.8,66.7,72.7,6.9,6.2
6.1,6.4,4.9,6.9,100.0,6.0,63.3,66.4,7.2,6.2
6.1,6.2,5.8,7.0,100.0,5.3,74.2,55.4,5.2,6.0
4.4,6.8,6.3,4.7,100.0,5.2,48.2,42.2,6.1,5.5
4.6,4.2,4.5,3.9,100.0,2.0,38.8,41.0,3.9,4.4
3.7,3.4,3.3,2.8,100.0,4.8,28.1,52.2,3.2,3.5
5.3,6.9,6.2,4.3,100.0,3.6,51.5,34.2,5.5,5.8
5.1,4.0,3.2,5.2,100.0,6.8,40.2,53.0,4.1,4.3
5.6,6.4,4.7,6.7,100.0,6.0,59.1,47.3,5.4,5.7
4.4,4.8,4.0,4.3,100.0,6.7,44.8,40.1,4.8,4.4
3.6,3.2,2.9,4.0,100.0,1.0,32.2,33.9,4.6,3.3
4.0,6.2,4.9,5.9,100.0,5.6,40.3,63.0,3.6,5.0
5.2,5.0,5.2,7.2,100.0,7.1,48.5,56.5,6.8,5.4
4.9,3.2,4.2,4.6,100.0,6.1,33.9,39.4,4.7,4.4
3.2,3.6,4.8,1.7,100.0,1.5,20.0,28.3,4.4,3.6
5.6,3.4,4.8,5.6,100.0,4.3,51.4,58.9,5.3,4.6
3.9,4.7,5.9,6.1,100.0,6.2,34.1,48.5,6.6,5.3
3.9,3.5,5.5,4.6,100.0,4.5,49.9,40.1,5.1,4.4
4.2,5.0,4.1,5.1,100.0,4.7,37.3,39.4,4.2,4.4
